,FishID,SiteName,Start,End,Detections,Duration_mins,capt.site,capt.gear,species,dna.number,capt.date,sex,fork.length.cm
1,150.4-121,fraser-pavilion,2021-09-19 18:40:05,2021-09-19 18:56:10,99,16.1,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
2,150.4-121,fraser-pavilion,2021-09-19 19:13:20,2021-09-19 19:27:37,44,14.3,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
3,150.4-121,fraser-pavilion,2021-09-19 19:34:41,2021-09-19 20:36:55,291,62.2,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
4,150.4-121,fraser-pavilion,2021-09-19 20:45:00,2021-09-19 20:53:35,12,8.6,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
5,150.4-121,fraser-pavilion,2021-09-19 21:01:55,2021-09-19 21:25:08,26,23.2,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
6,150.4-121,fraser-pavilion,2021-09-19 21:31:26,2021-09-19 21:54:54,24,23.5,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
7,150.4-121,fraser-pavilion,2021-09-19 22:00:00,2021-09-19 22:07:24,5,7.4,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
8,150.4-121,fraser-pavilion,2021-09-19 22:12:40,2021-09-19 22:15:29,3,2.8,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
9,150.4-121,fraser-pavilion,2021-09-19 22:29:51,2021-09-19 22:31:08,5,1.3,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
10,150.4-121,fraser-pavilion,2021-09-19 22:48:49,2021-09-19 22:49:55,7,1.1,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
11,150.4-121,fraser-pavilion,2021-09-20 00:29:55,2021-09-20 02:19:42,183,109.8,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
12,150.4-121,fraser-pavilion,2021-09-20 02:31:46,2021-09-20 02:36:42,10,4.9,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
13,150.4-121,fraser-pavilion,2021-09-20 02:42:04,2021-09-20 02:52:47,9,10.7,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
14,150.4-121,fraser-pavilion,2021-09-20 03:04:31,2021-09-20 03:06:28,5,2,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
15,150.4-121,fraser-pavilion,2021-09-20 03:12:00,2021-09-20 03:20:50,22,8.8,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
16,150.4-121,fraser-pavilion,2021-09-20 03:31:13,2021-09-20 03:33:35,7,2.4,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
17,150.4-121,fraser-pavilion,2021-09-20 03:40:44,2021-09-20 07:38:29,827,237.8,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
18,150.4-121,fraser-pavilion,2021-09-20 08:07:06,2021-09-20 08:07:36,3,0.5,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
19,150.4-121,fraser-pavilion,2021-09-20 09:14:06,2021-09-20 09:16:49,7,2.7,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
20,150.4-121,fraser-pavilion,2021-09-20 09:29:29,2021-09-20 09:44:07,85,14.6,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
21,150.4-121,fraser-bluff-us,2021-09-22 13:51:35,2021-09-22 13:55:52,5,4.3,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
22,150.4-121,fraser-bluff-us,2021-09-22 17:27:48,2021-09-22 17:28:09,3,0.3,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
23,150.4-121,fraser-jenny-us,2021-09-22 22:57:20,2021-09-22 22:57:41,3,0.3,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
24,150.4-121,fraser-alfalfa-lb-us,2021-09-23 10:35:25,2021-09-23 10:38:19,24,2.9,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
25,150.4-121,fraser-alfalfa-lb-ds,2021-09-23 10:36:33,2021-09-23 10:38:50,17,2.3,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
26,150.4-121,fraser-bbrb-ds,2021-09-23 12:20:57,2021-09-23 12:23:30,26,2.5,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
27,150.4-121,fraser-bbrb-us,2021-09-23 12:24:00,2021-09-23 12:28:41,34,4.7,lillooet,fishwheel,CO,32542,2021-09-17,M,55.1
28,150.64-30,fraser-old-bridge,2021-09-21 11:01:00,2021-09-21 11:11:17,7,10.3,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
29,150.64-30,fraser-old-bridge,2021-09-21 11:34:05,2021-09-21 11:35:26,12,1.4,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
30,150.64-30,fraser-old-bridge,2021-09-21 11:43:36,2021-09-21 11:50:29,11,6.9,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
31,150.64-30,fraser-pavilion,2021-09-21 16:40:10,2021-09-21 17:01:51,98,21.7,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
32,150.64-30,fraser-alfalfa-rb-ds,2021-09-24 15:49:49,2021-09-24 16:06:39,113,16.8,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
33,150.64-30,fraser-alfalfa-rb-us,2021-09-24 15:54:58,2021-09-24 16:14:01,76,19,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
34,150.64-30,fraser-alfalfa-lb-us,2021-09-24 16:01:19,2021-09-24 16:06:36,42,5.3,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
35,150.64-30,fraser-alfalfa-lb-ds,2021-09-24 16:04:04,2021-09-24 16:07:48,27,3.7,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
36,150.64-30,fraser-churn-lb-ds,2021-09-27 11:54:25,2021-09-27 12:01:59,46,7.6,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
37,150.64-30,fraser-churn-rb-ds,2021-09-27 11:56:35,2021-09-27 12:00:20,66,3.8,lillooet,fishwheel,CO,30462,2021-09-21,M,56.5
